t,0f_x,0f_y,0f_z,1f_x,1f_y,1f_z,2f_x,2f_y,2f_z
25.0,-0.08499098586762936,0.09266673286496753,-0.30740599479761616,0.014675142922199368,-0.013627874778859433,-0.007736781379071082,0.07031584294543,-0.0790388580861081,0.31514277617668723
25.01,-0.0871958856741673,0.09210577901125065,-0.3022267185253461,0.014702610382946261,-0.01357916727078712,-0.00785632822749362,0.07249327529122104,-0.07852661174046353,0.31008304675283976
25.02,-0.08925089076300242,0.09147837078736942,-0.29691348552837266,0.014742579543402223,-0.01354505827997495,-0.007989648066524531,0.0745083112196002,-0.07793331250739448,0.3049031335948972
25.03,-0.09115444808492572,0.09078636877909034,-0.29147826855954506,0.014795781644432845,-0.013526076801579714,-0.008136956292644687,0.07635866644049287,-0.07726029197751062,0.2996152248521897
25.04,-0.09290552208711488,0.09003178647498512,-0.28593306441915606,0.014862966261513438,-0.013522765342657046,-0.00829847892106361,0.07804255582560145,-0.07650902113232808,0.29423154334021967
25.05,-0.09450358668737774,0.08921677971058067,-0.2802898492139466,0.014944903277969466,-0.013535681994102086,-0.008474453405034528,0.07955868340940826,-0.07568109771647859,0.2887643026189812
25.06,-0.0959486146930253,0.08834363556470248,-0.27456053488265586,0.015042384965910465,-0.013565402560521782,-0.008665129400478224,0.08090622972711484,-0.0747782330041807,0.28322566428313406
25.07,-0.0972410647969203,0.08741476079105097,-0.26875692721298455,0.015156228174857659,-0.01361252274801029,-0.008870769473797335,0.08208483662206263,-0.07380223804304067,0.2776276966867819
25.08,-0.09838186629936725,0.08643266987023622,-0.26289068555958695,0.015287276628388642,-0.013677660410208618,-0.009091649750640064,0.08309458967097862,-0.0727550094600276,0.27198233531022703
25.09,-0.09937240171892645,0.08539997276881704,-0.2569732844557957,0.015436403329442171,-0.013761457853412389,-0.009328060503193427,0.08393599838948428,-0.07163851491540466,0.2663013449589891
25.1,-0.10021448746783998,0.08431936249238921,-0.2510159772935973,0.015604513075238673,-0.013864584201846296,-0.009580306673351682,0.0846099743926013,-0.0704547782905429,0.260596283966949
25.11,-0.10091035277845986,0.08319360251942083,-0.24502976222699932,0.015792545083070677,-0.013987737824543956,-0.00984870832881491,0.08511780769538918,-0.06920586469487687,0.2548784705558142
25.12,-0.10146261707572062,0.08202551420136736,-0.23902535043358167,0.016001475728499265,-0.01413164882555917,-0.010133601048826444,0.08546114134722135,-0.06789386537580819,0.24915895148240813
25.13,-0.10187426599732362,0.08081796421264094,-0.23301313684799968,0.016232321397751,-0.014297081599481188,-0.01043533623585707,0.08564194459957263,-0.06652088261315975,0.24344847308385675
