t,0x,0y,0z,1x,1y,1z,2x,2y,2z
0,2.93809,4.59792,1.67743,3.62501,3.76903,1.34561,3.86572,4.83207,13.08661
1,2.93818,4.59765,1.67753,3.62487,3.76903,1.34567,3.86579,4.8324,1.08638
