t,0x,0y,0z,1x,1y,1z
5.0345,0.4196602163433132,0.8103939339226736,1.3940464254598042,0.8368840691324588,1.7228956745127395,1.1116831048928004
5.035,0.4191383945382431,0.8104898937485441,1.3948055380271265,0.8374058909375289,1.722799714686869,1.1109239923254781
5.0355,0.4186155807567385,0.8105836899115646,1.3955653238569086,0.8379287047190335,1.7227059185238485,1.110164206495696
5.036,0.41809178829874727,0.8106753571820533,1.396325775812664,0.8384524971770247,1.7226142512533598,1.1094037545399407
5.0365,0.4175670305307402,0.8107649302897677,1.397086886651838,0.8389772549450318,1.7225246781456454,1.1086426437007666
5.037,0.4170413208797447,0.8108524439111593,1.397848649029945,0.8395029645960274,1.7224371645242538,1.1078808813226595
5.0375,0.4165146728274542,0.8109379326569318,1.3986110555047004,0.8400296126483179,1.7223516757784814,1.1071184748479042
5.038,0.415987099904416,0.8110214310599071,1.3993740985401426,0.8405571855713561,1.7222681773755062,1.106355431812462
5.0385,0.4154586156843023,0.8111029735632016,1.4001377705107432,0.8410856697914698,1.7221866348722117,1.1055917598418614
5.039,0.4149292337782661,0.8111825945087167,1.4009020637054994,0.8416150516975061,1.7221070139266967,1.1048274666471052
5.0395,0.41439896782938623,0.811260328125944,1.4016669703320073,0.8421453176463859,1.7220292803094694,1.1040625600205973
5.04,0.41386783150720347,0.8113362085210891,1.4024324825205117,0.8426764539685686,1.7219533999143244,1.103297047832093
5.0405,0.4133358385023508,0.8114102696665131,1.403198592327929,0.8432084469734213,1.7218793387689004,1.1025309380246755
5.041,0.4128030025212797,0.8114825453904944,1.403965291741842,0.8437412829544925,1.7218070630449192,1.1017642386107627
5.0415,0.4122693372810855,0.8115530693673101,1.4047325726844602,0.8442749481946866,1.7217365390681034,1.1009969576681444
5.042,0.4117348565044327,0.8116218751076382,1.4055004270165474,0.8448094289713394,1.7216677333277755,1.1002291033360572
5.0425,0.4111995739145832,0.8116889959492788,1.4062688465413091,0.8453447115611888,1.721600612486135,1.0994606838112955
5.043,0.4106635032305283,0.8117544650481949,1.4070378230082414,0.8458807822452438,1.7215351433872188,1.0986917073443632
5.0435,0.41012665816222615,0.8118183153698711,1.4078073481169353,0.8464176273135459,1.7214712930655427,1.0979221822356693
5.044,0.4095890524059464,0.8118805796809881,1.4085774135208375,0.8469552330698257,1.7214090287544257,1.097152116831767
5.0445,0.4090506996397223,0.8119412905414128,1.4093480108309637,0.8474935858360498,1.721348317894001,1.0963815195216409
5.045,0.408511613518912,0.8120004802965005,1.410119131619561,0.8480326719568602,1.7212891281389133,1.0956103987330437
5.0455,0.40797180767186975,0.8120581810697072,1.4108907674237208,0.8485724778039024,1.7212314273657066,1.0948387629288838
5.046,0.4074312956957269,0.8121144247555098,1.4116629097489388,0.8491129897800452,1.7211751836799039,1.0940666206036658
5.0465,0.4068900911522844,0.8121692430126306,1.412435550072619,0.8496541943234877,1.7211203654227831,1.0932939802799857
5.047,0.40634820756401624,0.8122226672575628,1.4132086798475216,0.8501960779117558,1.721066941177851,1.092520850505083
5.0475,0.4058056584101841,0.8122747286583942,1.4139822905051551,0.8507386270655879,1.7210148797770195,1.0917472398474495
5.048,0.4052624571230641,0.8123254581289253,1.414756373459107,0.8512818283527079,1.7209641503064885,1.0909731568934975
5.0485,0.40471861708428436,0.8123748863230766,1.4155309201083162,0.8518256683914877,1.7209147221123373,1.0901986102442884
5.049,0.40417415162127457,0.8124230436295834,1.4163059218402818,0.8523701338544974,1.7208665648058306,1.0894236085123228
5.0495,0.40362907400382586,0.8124699601669712,1.4170813700342129,0.8529152114719462,1.7208196482684428,1.0886481603183917
5.05,0.4030833974407617,0.8125156657788094,1.4178572560641118,0.8534608880350103,1.7207739426566047,1.0878722742884928
5.0505,0.4025371350767189,0.8125601900292372,1.4186335713017961,0.8540071503990532,1.7207294184061768,1.0870959590508085
5.051,0.40199029998903757,0.8126035621987577,1.4194103071198538,0.8545539854867344,1.7206860462366562,1.0863192232327508
5.0515,0.40144290518476045,0.8126458112802954,1.4201874548945344,0.8551013802910116,1.7206437971551185,1.0855420754580702
5.052,0.4008949635977397,0.8126869659755113,1.4209650060085743,0.8556493218780323,1.7206026424599028,1.0847645243440303
5.0525,0.4003464880858506,0.812727054691371,1.421742951853956,0.8561977973899214,1.720562553744043,1.0839865784986487
5.053,0.3997974914283117,0.8127661055369617,1.4225212838345993,0.8567467940474602,1.7205235028984522,1.0832082465180053
5.0535,0.3992479863231096,0.8128041463205502,1.4232999933689887,0.8572962991526624,1.7204854621148638,1.0824295369836159
5.054,0.39869798538452716,0.812841204546879,1.4240790718927312,0.8578463000912447,1.7204484038885348,1.0816504584598734
5.0545,0.3981475011407751,0.8128773074146942,1.4248585108610485,0.8583967843349969,1.7204123010207195,1.080871019491556
5.055,0.3975965460317238,0.812912481814499,1.4256383017512024,0.8589477394440481,1.7203771266209147,1.0800912286014022
5.0555,0.3970451324067361,0.8129467543265287,1.4264184360648526,0.8594991530690358,1.720342854108885,1.079311094287752
5.056,0.3964932725225978,0.8129801512189407,1.427198905330348,0.8600510129531741,1.720309457216473,1.0785306250222566
5.0565,0.3959409785415454,0.813012698446214,1.4279797011049518,0.8606033069342265,1.7202769099891997,1.0777498292476528
5.057,0.39538826252938963,0.8130444216477533,1.428760814977,0.8611560229463823,1.7202451867876605,1.0769687153756047
