t,0f_x,0f_y,0f_z,1f_x,1f_y,1f_z
0.75,0.5935679555978678,-0.5510596119792687,0.7514984323587723,-0.5935679555978678,0.5510596119792687,-0.7514984323587723
0.7505,0.5975486117099961,-0.5542508436592914,0.7563968063324576,-0.5975486117099961,0.5542508436592914,-0.7563968063324576
0.751,0.6015549238923921,-0.5574583301710188,0.7613255418496574,-0.6015549238923921,0.5574583301710188,-0.7613255418496574
0.7515,0.6055869840953635,-0.5606820732885082,0.766284731887789,-0.6055869840953635,0.5606820732885082,-0.766284731887789
0.752,0.609644882183713,-0.5639220722671513,0.7712744666205446,-0.609644882183713,0.5639220722671513,-0.7712744666205446
0.7525,0.6137287058462454,-0.5671783237662327,0.7762948333051622,-0.6137287058462454,0.5671783237662327,-0.7762948333051622
0.753,0.6178385405025681,-0.5704508217694766,0.781345916166413,-0.6178385405025681,0.5704508217694766,-0.781345916166413
0.7535,0.6219744692071215,-0.5737395575035384,0.7864277962772231,-0.6219744692071215,0.5737395575035384,-0.7864277962772231
0.754,0.626136572550366,-0.577044519354397,0.7915405514358504,-0.626136572550366,0.577044519354397,-0.7915405514358504
0.7545,0.6303249285570292,-0.5803656927815767,0.7966842560394929,-0.6303249285570292,0.5803656927815767,-0.7966842560394929
0.755,0.6345396125813553,-0.5837030602301645,0.801858980954267,-0.6345396125813553,0.5837030602301645,-0.801858980954267
0.7555,0.6387806971992457,-0.5870566010405449,0.8070647933814143,-0.6387806971992457,0.5870566010405449,-0.8070647933814143
0.756,0.6430482520972273,-0.5904262913558151,0.8123017567196744,-0.6430482520972273,0.5904262913558151,-0.8123017567196744
0.7565,0.6473423439581364,-0.5938121040267973,0.8175699304236733,-0.6473423439581364,0.5938121040267973,-0.8175699304236733
0.757,0.6516630363434454,-0.5972140085146093,0.8228693698582568,-0.6516630363434454,0.5972140085146093,-0.8228693698582568
0.7575,0.6560103895721315,-0.6006319707907204,0.8282001261486363,-0.6560103895721315,0.6006319707907204,-0.8282001261486363
0.758,0.6603844605959802,-0.6040659532344225,0.833562246026227,-0.6603844605959802,0.6040659532344225,-0.833562246026227
0.7585,0.6647853028712407,-0.6075159145276642,0.8389557716700754,-0.6647853028712407,0.6075159145276642,-0.8389557716700754
0.759,0.6692129662265152,-0.6109818095471672,0.8443807405437403,-0.6692129662265152,0.6109818095471672,-0.8443807405437403
0.7595,0.6736674967267801,-0.614463589253758,0.8498371852274982,-0.6736674967267801,0.614463589253758,-0.8498371852274982
0.76,0.6781489365334425,-0.6179612005788552,0.8553251332457672,-0.6781489365334425,0.6179612005788552,-0.8553251332457672
0.7605,0.6826573237602945,-0.6214745863080162,0.8608446068895788,-0.6826573237602945,0.6214745863080162,-0.8608446068895788
0.761,0.6871926923252768,-0.6250036849614927,0.8663956230339965,-0.6871926923252768,0.6250036849614927,-0.8663956230339965
0.7615,0.6917550717979173,-0.6285484306717003,0.8719781929503204,-0.6917550717979173,0.6285484306717003,-0.8719781929503204
0.762,0.6963444872423221,-0.6321087530575263,0.8775923221129297,-0.6963444872423221,0.6321087530575263,-0.8775923221129297
0.7625,0.7009609590556033,-0.6356845770954016,0.8832380100006302,-0.7009609590556033,0.6356845770954016,-0.8832380100006302
0.763,0.7056045028016061,-0.6392758229870434,0.88891524989234,-0.7056045028016061,0.6392758229870434,-0.88891524989234
0.7635,0.7102751290398065,-0.6428824060237907,0.8946240286569631,-0.7102751290398065,0.6428824060237907,-0.8946240286569631
0.764,0.7149728431492405,-0.6465042364474375,0.9003643265372827,-0.7149728431492405,0.6465042364474375,-0.9003643265372827
0.7645,0.7196976451473216,-0.6501412193074745,0.9061361169277076,-0.7196976451473216,0.6501412193074745,-0.9061361169277076
0.765,0.7244495295034148,-0.6537932543146564,0.9119393661457142,-0.7244495295034148,0.6537932543146564,-0.9119393661457142
0.7655,0.7292284849470002,-0.6574602356907824,0.917774033196785,-0.7292284849470002,0.6574602356907824,-0.917774033196785
0.766,0.7340344942702872,-0.6611420520146057,0.9236400695326799,-0.7340344942702872,0.6611420520146057,-0.9236400695326799
0.7665,0.7388675341251133,-0.6648385860637638,0.9295374188028449,-0.7388675341251133,0.6648385860637638,-0.9295374188028449
0.767,0.7437275748139729,-0.668549714652632,0.9354660165987723,-0.7437275748139729,0.668549714652632,-0.9354660165987723
0.7675,0.7486145800750019,-0.6722753084659877,0.9414257901911077,-0.7486145800750019,0.6722753084659877,-0.9414257901911077
0.768,0.7535285068607535,-0.6760152318883852,0.9474166582593113,-0.7535285068607535,0.6760152318883852,-0.9474166582593113
0.7685,0.7584693051105805,-0.6797693428291158,0.9534385306136479,-0.7584693051105805,0.6797693428291158,-0.9534385306136479
0.769,0.7634369175164532,-0.6835374925426574,0.959491307909313,-0.7634369175164532,0.6835374925426574,-0.959491307909313
0.7695,0.7684312792820174,-0.6873195254444776,0.9655748813524565,-0.7684312792820174,0.6873195254444776,-0.9655748813524565
0.77,0.7734523178747031,-0.6911152789220805,0.9716891323978806,-0.7734523178747031,0.6911152789220805,-0.9716891323978806
0.7705,0.7784999527706856,-0.6949245831411673,0.9778339324381838,-0.7784999527706856,0.6949245831411673,-0.9778339324381838
0.771,0.7835740951925022,-0.6987472608467923,0.9840091424841111,-0.7835740951925022,0.6987472608467923,-0.9840091424841111
0.7715,0.7886746478390995,-0.7025831271593675,0.9902146128358484,-0.7886746478390995,0.7025831271593675,-0.9902146128358484
0.772,0.7938015046081107,-0.706431989365396,0.9964501827450241,-0.7938015046081107,0.706431989365396,-0.9964501827450241
